source_id,source_pdf,page,thumbnail_path,review_page_path,orientation,review_status,red_pixel_count,red_alignment_bbox_px,red_alignment_bbox_pct,likely_route_marker_cells,ocr_text
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,1,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-001.jpg,data/processed/corridor_tracing/mca_annex_d1/review_pages/page-001.jpg,landscape_upright,needs_sheet_assignment,4852,"[26, 86, 1171, 742]","[0.0218, 0.1021, 0.9824, 0.8812]",1833,"2/19 ae J. SSE "" =a © ex! Bane BTR GR : y Sue. 4 a4 ‘ “ = | ee RES Se ~— ‘ie | i mk > F df Ne y j J] i \e a }! ofits \ penal Wey all aa \. { | &y ee A . we ae \ 5 9 on jte ae | oe . = deri, | Wes * 58 Le Wee ‘@ 7 a a 4 oe , ao eee fs < eee = $ i Li he hl eae AN Sew SS ae 4 a =J Pi — ——— 7 TELII] “ety rent ton oan ry eee : od @ Flora Plots ~ f ey rt | eel ceaein AGS 103, (— Fauna! Transect Lines PR i wa cap hel “eo ETP Aignment agotod | Caeee):) ) Ciel - ae aa, |Algnment 46m ROW Be op WEE | (Gta "
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,2,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-002.jpg,,landscape_upright,needs_sheet_assignment,8338,"[9, 102, 1166, 781]","[0.0076, 0.1211, 0.9782, 0.9276]",2369,"na oxo =e , t oogdeyy juaumuBiy 13 ae Snr ak , ce ae 4 (pe ff eo t vr a ne a ane 2 TeMINg MAN 0} J9pI0g eIpU| © a pen OA ea > a oh fad Caer eee S————> hos "" oe! hon NE 2 ° ba Nek gg ie ee en SS r \y Ye 4 a se, >. = Np é ‘ i * Lip ! N én ‘ x ay ~ ey | ye ANS , eg OREN 1 oo ee Ny S at — ‘ Poet NS é te RS é eee ioe 3. st ah EE res Ns > a Se Pe eae 1 oN oe, 1 To"
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,3,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-003.jpg,,landscape_upright,needs_sheet_assignment,5120,"[9, 97, 1161, 631]","[0.0076, 0.1152, 0.974, 0.7494]",1993,"ai aS a oe. v7 E, ssyepunog prem = — | seosuim peep vag ae rf of per: (MON wap wouUbay —] ‘ids be 04 4 SO OF ey, ala rs quowuBiy 13 —f saath te 2 ee ie rompers Y é : ee EP ‘ ‘ By Wit eal sor gl Z € « a, Wer Pc a, > ~ VERE . a nye a z A Bh Sia S&S . >] ‘ . A Ly oa nS Ly fs ‘ XS | Md} 7 > F b Ss _ = —_— -_—_ ss on. p i} \ Y t y 1 ae, memes 7S . 1 4 me! ‘ Cr"
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,4,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-004.jpg,,landscape_upright,needs_sheet_assignment,8751,"[14, 173, 1170, 743]","[0.0117, 0.2055, 0.9815, 0.8824]",2478,"+ ¢ & 4 G Ta WY é 7 ee es : & ey a tif >< d y a Se 1 we Z >. > a3 7. & SNS & i f ee! is Y & ee a Lt NE a! Wak eR Oe ee oe = TS me, Patcadtm OAR @ Biodiversity Sighings z i fie: eee) eee tepancteg it} © Inia Boer a New Butwal Steg ‘ a # 2 =n pape ssh 3 EY ls ~ 73 ‘hangs tomLOAR ch age fi Ward Boundaries y gt ZZ hare nt ETP Alignment Mapbook kl F"
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,5,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-005.jpg,,landscape_upright,needs_sheet_assignment,5051,"[8, 99, 1167, 604]","[0.0067, 0.1176, 0.979, 0.7173]",1875,"ww ozone “7 ioe Gé ey eyeg eujeseg, i A Les r= 4 gett Urry, { i yoogdey yuouuByy 13 clea El # — ‘ Sp ae & seuepunog pie, atm mpayeriny cing i) : ""| i y Pa, mowwar women —| coboracecisecresse’ (iui SF mpg nonar mpeg ep © auteapomnsgaceer fo / i sunbis Aissoupog @ vounewafenrs ae Le / is) Wg eel / $ if L A Pe. = r fs, bs t AAEM 2, < »~ st x —— re r 5 | ial we = 7: Sain oe 1 7 a 2 —— ;,]"
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,6,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-006.jpg,,landscape_upright,needs_sheet_assignment,6674,"[14, 54, 1170, 741]","[0.0117, 0.0641, 0.9815, 0.88]",1593,"| rn aah I my J 1 eee oa | ( a ee | — Faunal Transect Lines E22 : Germ pl © India Borde to New Buval Sy Ef ( : le AY : ~ zs ‘age ton — ETP Alignment o : Yee tases ETPAlignment Mapbook =| ] [Alignment 46m ROW ¥ > Pty Sagi Baseline Data Ward Boundaries cal ‘March 2020 ERM, ff"
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,7,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-007.jpg,,landscape_upright,needs_sheet_assignment,4682,"[7, 100, 1165, 651]","[0.0059, 0.1188, 0.9773, 0.7732]",1603,"waa 020% YEW, ae ve aS f . beg ouyaseg ian OY ae pot de 6 yoogdey wowuByy dia jae Pcs ’ (3 A lye ey t eaten | oo @ ‘mow Wop nowy —) pore | ne, aR 2 wowuby 413 —{ eM My balie prvanons e864 9 ‘Sot Ef eee ¥ - I Pe i ie ta a i | If oa om Scenes: z Z i as 2 bs 1 ‘ 1 \ a : v t her ~ ae a : 9 am, L fae — Bi ="
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,8,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-008.jpg,,landscape_upright,needs_sheet_assignment,15676,"[13, 53, 1170, 738]","[0.0109, 0.0629, 0.9815, 0.8765]",2230,"ay fe a =f, eel S hs ep 6) ic = = 1 pe a : ay af oP om ity Sar"" J ; = es FBermmomonavn |i 2 bg REE LE | sa peprotics inde cese nets 103, | TO Laydown areas t= e ins — aes 0 asi . J > a eer a, ETP Alignment Mapbook pounce 4 § bo Baseline Data kal a ) March 2020 ERM, |"
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,9,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-009.jpg,,landscape_upright,needs_sheet_assignment,6645,"[7, 101, 1163, 665]","[0.0059, 0.12, 0.9757, 0.7898]",2088,"wi ozoz uae al 7 . 6 eg euljeseg beng eR E> fy [ yooqdey wowubly 413 ape. Bhs qa Ques, Pertontatpertean gm | 7) Ss ee % ae corsomraroea sp ee ees “asada 13 sea, 4 a ae 2 Ang MAN 01 PI08 BIPY rompnenprme ble CN Map FT uydd subs hsionpog @ — b Pi etal , ‘ 7a \ ‘| _ I , ase APA S. f"
mca_annex_d1_alignment_maps,mca_annex_d1_alignment_maps.pdf,10,data/processed/corridor_tracing/mca_annex_d1/thumbnails/page-010.jpg,,landscape_upright,needs_sheet_assignment,9948,"[13, 53, 1169, 738]","[0.0109, 0.0629, 0.9807, 0.8765]",2538,"fe é = Fs pd “t tg PEO, Ne: LS a My o Si doe 5 ‘ee es > eee ‘ i} fam, ; ® > $2 92 Sap Re ee i aa _ ee OO 6 ie aN ve WA tains \ pi ip: ede aaa ee Bo Boe Le SS is x Ps ss Gw' 7? .. (ay STM ey el ey 5 cape | | a ry lave M, + \em\ Nye a Page Number —— = —— rr Taped oN 1 Sone tty @ Biodiversiy Sightings eae , sa a) * ""ten pute te fh © India BordertoNew Butwal > ; a 7 jolt F recaiesd ota (Alignment 46m ROW fi mY 5 os a — Primary or Secondary Roads I ( Reel taane ETP Alignment Mapbook | Ward Boundaries"
